index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,date
154,Malta,1112,23,9,0,688,415,0,2518,20,143385,324641,2020-08-10
155,Togo,1067,7,25,2,729,313,2,129,3,48431,5836,2020-08-10
156,Jamaica,1023,20,14,1,745,264,0,345,5,43382,14643,2020-08-10
157,Andorra,963,8,52,0,839,72,1,12461,673,3750,48525,2020-08-10
158,Chad,945,1,76,0,843,26,0,57,5,0,0,2020-08-10
159,Bahamas,945,47,15,0,113,817,1,2401,38,6557,16657,2020-08-10
160,Sao Tome and Principe,878,0,15,0,800,63,0,3999,68,3141,14305,2020-08-10
161,Vietnam,847,6,15,4,399,433,0,9,2,482456,4952,2020-08-10
162,Botswana,804,0,2,0,63,739,1,341,8,80163,34018,2020-08-10
163,Lesotho,781,39,24,1,175,582,0,364,11,8771,4091,2020-08-10
164,Diamond Princess,712,0,13,0,651,48,4,0,0,0,0,2020-08-10
165,San Marino,699,0,42,0,657,0,0,20596,1238,6068,178791,2020-08-10
